D_start,D_end,duration,pic_acc,pic_down,t_acc_frac,d_stroke,speed_moy,auc_pos,auc_neg,auc_abs,rfd,jerk_rms,pos_pic_pct,fwhm_s,sym_ratio,athlete
2180.11128,2182.44291,0.4300540000001547,5.3603754,-3.24341202,0.4772727272727273,2.331630000000132,18.755574063636367,0.43399691560307335,-0.2516249148037037,0.685621830406777,33.49522851394162,86.46532010208726,36.36363636363637,0.06005800000002637,0.5797850301632923,Zoualegh Nathan
2182.49567,2185.1889,0.5100089999998545,3.45087814,-3.5361743,0.5,2.6932300000003124,18.72216603076923,0.43857730325129995,-0.30270311446042614,0.7412804177117263,14.379258052416793,65.3895784383301,46.15384615384615,0.23999000000003434,0.6901932959512512,Zoualegh Nathan
2185.24166,2187.77662,0.47998100000017985,5.31049347,-4.28323221,0.4489795918367347,2.5349599999999555,18.733919063265304,0.45298864261997673,-0.2619801669858942,0.714968809605871,26.55897429869581,86.52241233027237,40.816326530612244,0.05004900000017187,0.5783371641961359,Zoualegh Nathan
2187.82938,2189.6951,0.3599860000001627,3.00474095,-2.3060081,0.4594594594594595,1.8657199999997829,18.759266178378372,0.3169894368192645,-0.2082862593242389,0.5252756961435033,13.06517038363017,67.15399273176703,62.16216216216216,0.10009700000000521,0.6570763411368685,Zoualegh Nathan
2189.74685,2193.01018,0.6300049999999828,5.18737316,-4.52531576,0.53125,3.2633300000002237,18.712586607812497,0.5140393404367879,-0.3097052984527446,0.8237446388895326,15.258505732926055,85.18723803613929,53.125,0.05004900000017187,0.6024933776266672,Zoualegh Nathan
2193.06193,2195.69962,0.519898000000012,3.70181942,-2.10308003,0.5471698113207547,2.6376900000000205,18.547328498113206,0.3634891602958108,-0.1872160913492394,0.5507052516450502,15.424890287093088,59.448089403724424,45.28301886792453,0.100097999999889,0.5150527492948654,Zoualegh Nathan
2195.75005,2198.17287,0.4799809999999525,4.62261629,-3.87818837,0.42857142857142855,2.422819999999774,18.39958374489796,0.38917573264743677,-0.22991574476530746,0.6190914774127443,25.6734995612531,83.44961729110499,36.734693877551024,0.0699459999998453,0.5907761596573994,Zoualegh Nathan
2198.2233,2200.78045,0.5,5.22063541,-2.36476254,0.39215686274509803,2.5571500000000924,18.30555568627451,0.4279461956795179,-0.2707404322920219,0.6986866279715397,27.46792068945427,67.7310780634785,37.254901960784316,0.07995599999981096,0.6326506346484152,Zoualegh Nathan
2200.83197,2203.51378,0.5200199999999313,4.87735605,-2.53154325,0.5094339622641509,2.6818100000000413,18.220913652830188,0.4457928988156855,-0.2086235476404555,0.654416446456141,23.216329022345366,73.83470651578352,39.62264150943396,0.13000499999998283,0.4679831109797726,Zoualegh Nathan
2203.56556,2206.02283,0.48999000000003434,3.36741829,-2.11500216,0.48,2.4572699999998804,18.116124714,0.36811990105022885,-0.25533230634189424,0.6234522073921231,14.031494187255793,57.10101129187805,48.0,0.09997599999996964,0.6936117977143945,Zoualegh Nathan
2206.07185,2208.51288,0.5,6.30192041,-3.56193805,0.45098039215686275,2.44103000000041,18.00606341372549,0.45346710872342355,-0.2077191605579907,0.6611862692814142,30.014718971615515,74.89704760023537,41.17647058823529,0.049927000000025146,0.45806885783348344,Zoualegh Nathan
2208.56165,2210.92931,0.4799809999999525,3.59142327,-2.1084199,0.5510204081632653,2.367659999999887,17.911141457142858,0.303805297334073,-0.2109778192274558,0.5147831165615289,16.326803396812377,66.790814521263,44.89795918367347,0.1099859999999353,0.6944507586892356,Zoualegh Nathan
2210.98032,2213.6218,0.5200190000000475,4.51403093,-4.40172529,0.49056603773584906,2.641479999999774,17.836012930188677,0.43280135534425146,-0.2856156163922302,0.7184169717364817,21.499378122601552,70.0618125411391,39.62264150943396,0.0599369999999908,0.6599231099104362,Zoualegh Nathan
2213.67255,2216.33725,0.5300290000000132,5.89856815,-2.55581164,0.5740740740740741,2.6647000000002663,17.788437435185184,0.37824153929189974,-0.2372209753827812,0.6154625146746809,32.782207445033336,98.6145169049423,33.33333333333333,0.020019000000047527,0.6271679621092887,Zoualegh Nathan
2216.38543,2218.70028,0.4799799999998413,4.44376278,-2.57440543,0.42857142857142855,2.314850000000206,17.768366253061224,0.45349385860081054,-0.2984034388482283,0.7518972974490388,29.644452909257048,72.58092999500218,30.612244897959183,0.09008700000003955,0.6580098786098422,Zoualegh Nathan
2218.74846,2220.58095,0.38000499999998283,3.79640198,-2.49996257,0.4358974358974359,1.8324900000002344,17.76433245897436,0.35404532080334783,-0.1923522522524002,0.5463975730557479,22.342027400801868,70.09788452607192,43.58974358974359,0.09008700000003955,0.5432983885112297,Zoualegh Nathan
2220.62913,2223.55951,0.6101069999999709,4.49490213,-3.22482944,0.5483870967741935,2.930380000000241,17.763977293548386,0.42994316783133757,-0.21252762563489697,0.6424707934662344,16.051559409917502,73.03026388393944,45.16129032258064,0.08007800000018506,0.4943156247996699,Zoualegh Nathan
2223.60745,2226.05485,0.5098879999998189,3.22250891,-2.82416964,0.5192307692307693,2.447400000000016,17.74057355576923,0.43108246145045537,-0.2809308917222792,0.7120133531727345,14.6496988693973,69.24919540354485,42.30769230769231,0.3199460000000727,0.6516871291331039,Zoualegh Nathan
2226.10279,2228.46106,0.47009299999990617,3.2752254,-2.50128531,0.5625,2.358270000000175,17.693290964583333,0.3749420490747111,-0.1787271932098079,0.5536692422845191,23.39196086134489,64.2187282406556,29.166666666666668,0.15002400000003036,0.47667951260967967,Zoualegh Nathan
2228.51183,2230.1383,0.3199459999998453,3.05166149,-2.85231233,0.48484848484848486,1.626470000000154,17.657964375757572,0.24071498973166613,-0.19966254910263762,0.4403775388343037,20.357710304081127,66.81482330692037,45.45454545454545,0.1201170000001639,0.829456235048797,Zoualegh Nathan
